id,first_name,last_name,birth_date,death_date,place_of_birth,wikipedia_url,start_mandate,end_mandate,first_paragraph,country
Q546727,Sylvain,Weyer,1802-01-19,1874-05-23,Leuven,https://nl.wikipedia.org/wiki/Sylvain_Van_de_Weyer,1845-07-30,1846-03-31,"Jean-Sylvain Van de Weyer(Leuven,19 januari1802–Londen,23 mei1874), beter bekend alsSylvain Van de Weyer, was een van de grondleggers van deBelgische Staat, en later ookeerste minister.",be
Q569138,Jules,Burlet,1844-04-10,1897-03-01,Ixelles - Elsene,https://nl.wikipedia.org/wiki/Jules_de_Burlet,1894-03-26,1896-02-25,"Jules Philippe Marie de Burlet(Elsene,10 april1844-Nijvel,1 maart1897) was eenBelgischkatholiekpoliticus.",be
Q665955,Paul-Émile,None,1872-05-30,1944-03-03,Brussels metropolitan area,https://nl.wikipedia.org/wiki/Paul-Emile_Janson,1937-11-24,1938-05-15,"Paul-Emile Janson(Brussel,30 mei1872- concentratiekampBuchenwald,3 maart1944) was deBelgischeeerste ministervan november 1937 tot mei 1938.",be
Q678535,Jules,Malou,1810-10-19,1886-07-11,Ypres,https://nl.wikipedia.org/wiki/Jules_Malou,1884-06-16,1884-10-26,"Jules Edouard François-Xavier Malou(Ieper,19 oktober1810-Sint-Lambrechts-Woluwe,11 juli1886) was eenBelgischpoliticus. Hij was onder meer leider van deKatholieke Partij,volksvertegenwoordiger,senatoreneerste minister.",be
Q705103,Charles,Broqueville,1860-12-04,1940-09-05,Postel,https://nl.wikipedia.org/wiki/Charles_de_Broqueville,1932-10-22,1934-11-20,"Charles Marie Pierre Albert graaf de Broqueville(Postel(Mol),4 december1860-Brussel,5 september1940) was deBelgischekabinetsleidertijdens deEerste Wereldoorlog(van17 juni1911tot1 juni1918) en eerste minister van22 oktober1932tot20 november1934. Hij was lid van deKatholieke Partij.",be
Q705111,Joseph,Pholien,1884-12-28,1968-01-04,Liège,https://nl.wikipedia.org/wiki/Joseph_Pholien,1950-08-16,1952-01-15,"Joseph Clovis Louis Marie Emmanuel Pholien(Luik,28 december1884–Brussel,4 januari1968) was eenBelgischpoliticusvan dePSC.",be
Q705128,Jean,Van Houtte,1907-03-17,1991-05-23,Ghent,https://nl.wikipedia.org/wiki/Jean_Van_Houtte,1952-01-15,1954-04-23,"Jean Maria Josephus baron Van Houtte(Gent,17 maart1907–Brussel,23 mei1991) was eenBelgischadvocaat,hoogleraarenpoliticusvan deCVP.",be
Q705791,Walthère,Frère,1812-04-22,1896-01-02,Liège,https://nl.wikipedia.org/wiki/Walth%C3%A8re_Fr%C3%A8re-Orban,1878-06-19,1884-06-16,"Hubert Joseph Walthère Frère-Orban(Luik,24 april1812–Brussel,2 januari1896) was eenBelgischliberaalpoliticusdie zijn stempel heeft gedrukt op de eerste halve eeuw onafhankelijkheid van België.",be
Q719483,Gérard,Cooreman,1852-03-25,1926-12-02,Ghent,https://nl.wikipedia.org/wiki/Gerard_Cooreman,1918-06-01,1918-11-21,"Gérard François Marie (Gerard) Cooreman(Gent,25 maart1852–Brussel,2 december1926) was eenBelgischadvocaatenpoliticusvoor dekatholieke Partij.",be
Q721772,Jules,Vandenpeereboom,1843-03-18,1917-03-06,Kortrijk,https://nl.wikipedia.org/wiki/Jules_Vandenpeereboom,1899-01-24,1899-08-05,"Jules Pierre Henri François Xavier Vandenpeereboom(Kortrijk,18 maart1843-Anderlecht,6 maart1917) was eenBelgischkatholiekpoliticus.",be
Q721781,Paul,None,1843-05-13,1913-09-09,Ghent,https://nl.wikipedia.org/wiki/Paul_de_Smet_de_Naeyer,1899-08-05,1907-05-02,"Paul Joseph graaf de Smet de Naeyer(Gent,13 mei1843–Brussel,9 september1913) was eenBelgischkatholiekpoliticus.",be
Q721798,Jules,Trooz,1857-02-21,1907-12-31,Leuven,https://nl.wikipedia.org/wiki/Jules_de_Trooz,1907-05-02,1907-12-31,"BaronJules Henri Ghislain Marie de Trooz(Leuven,21 februari1857-Brussel,31 december1907) was eenBelgischkatholiekpoliticus.",be
Q725589,Jules,d'Anethan,1803-04-23,1888-10-08,Brussels metropolitan area,https://nl.wikipedia.org/wiki/Jules_Joseph_d%27Anethan,1870-07-02,1871-12-07,"Jules Joseph d'Anethan(Brussel,23 april1803-Schaarbeek,8 oktober1888) was eenBelgischpoliticus. Hij waspremiervan 2 juli 1870 tot 7 december 1871.",be
Q950958,Charles,Michel,1975-12-21,,Namur,https://nl.wikipedia.org/wiki/Charles_Michel,2014-10-11,2019-10-27,"Charles Yves Jean Ghislaine Michel(Namen,21 december1975) is eenBelgischpoliticus voor de partijMouvement Réformateur(MR). Van 11 oktober 2014 tot 27 oktober 2019 was hijpremier van Belgiëin de regeringenMichel IenMichel II. Op 2 juli 2019 werd hij verkozen alsvoorzitter van de Europese Raad, in opvolging vanDonald Tusk, een functie die hij sinds 1 december 2019 uitoefent.",be
Q18434995,Sophie,Wilmès,1975-01-15,,Ixelles - Elsene,https://nl.wikipedia.org/wiki/Sophie_Wilm%C3%A8s,2019-10-27,2020-10-01,"Sophie Wilmès(Elsene,15 januari1975) is eenBelgischpoliticavan deMR. Van 27 oktober 2019 tot 1 oktober 2020 was ze de eerste vrouwelijkepremiervan België.Sinds 1 oktober 2020 was ze vicepremier en minister van Buitenlandse Zaken en Buitenlandse Handel. Om familiale redenen legde ze op 21 april 2022 haar bevoegdheden als minister tijdelijk neer. Op 15 juli 2022 legde ze haar functie definitief neer.",be
Q7747,Vladimir,Putin,1952-10-07,,Saint Petersburg,"https://ru.wikipedia.org/wiki/%D0%9F%D1%83%D1%82%D0%B8%D0%BD,_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87",2000-05-07,2008-05-07,"Вторая чеченская войнаВойна в ГрузииРоссийско-украинская война,",ru
Q23530,Dmitry,Medvedev,1965-09-14,,Saint Petersburg,"https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D0%B4%D0%B2%D0%B5%D0%B4%D0%B5%D0%B2,_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%B8%D0%B9_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D1%8C%D0%B5%D0%B2%D0%B8%D1%87",2008-05-07,2012-05-07,иностранные:,ru
Q34453,Boris,Yeltsin,1931-02-01,2007-04-23,Butka,"https://ru.wikipedia.org/wiki/%D0%95%D0%BB%D1%8C%D1%86%D0%B8%D0%BD,_%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%9D%D0%B8%D0%BA%D0%BE%D0%BB%D0%B0%D0%B5%D0%B2%D0%B8%D1%87",1991-07-10,1999-12-31,"Бори́с Никола́евич Е́льцин(1 февраля1931(1931-02-01),Бутка,Буткинский район,Уральская область,СССР—23 апреля2007,Москва,Россия) —советскийироссийскийпартийный, государственный и политический деятель, первый всенародно избранныйПрезидент Российской Федерации(1991—1999)[b]; в ноябре 1991 — июне 1992 года одновременно возглавлялправительство. С марта по май 1992 года исполнял обязанностиминистра обороны Российской Федерации.",ru
